HouseID,OverallQual,GrLivArea,TotalBsmtSF,GarageCars,BedroomAbvGr,FullBath,YearBuilt,LotArea,Neighborhood,PropertyType,SalePrice
10001,9,1929,938.0,2.0,2,4,1951,10453.0,Central,Detached,635603
10002,6,1062,938.0,1.0,4,2,1996,6243.0,Greenfield,Townhouse,439648
10003,7,2258,1366.0,2.0,4,3,1963,6317.0,East,Detached,653286
10004,9,1648,1186.0,1.0,5,2,1980,9599.0,Lakeside,Detached,624148
10005,5,1463,1278.0,,3,1,1999,15875.0,South,Detached,507792
10006,10,2327,1437.0,2.0,5,2,2010,7310.0,Lakeside,Detached,826381
10007,7,1363,917.0,2.0,3,2,1990,13599.0,Central,Detached,596731
10008,7,975,805.0,1.0,3,4,1963,4183.0,South,Detached,469238
10009,9,894,616.0,2.0,2,3,1954,8485.0,South,Detached,539989
10010,4,2083,720.0,2.0,2,2,2024,6271.0,North,Detached,556876
10011,5,1046,2230.0,4.0,4,2,1954,9082.0,East,Detached,511773
10012,9,2715,1548.0,3.0,3,2,2013,7001.0,South,Detached,787496
10013,5,605,510.0,3.0,3,3,1978,4375.0,Central,Townhouse,394402
10014,5,2683,521.0,1.0,3,3,2024,5366.0,Greenfield,Detached,637590
10015,10,1866,1243.0,0.0,4,3,1954,3819.0,North,Semi-Detached,662593
10016,7,1697,1269.0,2.0,1,2,1985,4443.0,West,Semi-Detached,582312
10017,6,1450,1270.0,1.0,4,2,1968,9930.0,West,Detached,551682
10018,10,1970,948.0,2.0,2,2,2013,7145.0,Greenfield,Detached,694104
10019,10,1729,1000.0,3.0,3,2,1971,8876.0,West,Detached,689321
10020,5,2357,1181.0,3.0,3,2,1983,18110.0,West,Semi-Detached,621482
10021,8,1813,1084.0,3.0,3,1,2005,7002.0,East,Detached,644804
10022,7,1833,162.0,2.0,3,1,1966,10643.0,South,Detached,512148
10023,4,1550,958.0,2.0,3,3,2005,8102.0,North,Detached,489222
10025,6,1919,1120.0,0.0,4,2,2023,2500.0,North,Detached,590843
10026,8,809,2244.0,2.0,1,2,1967,5792.0,West,Semi-Detached,538508
10027,8,1008,1197.0,0.0,3,2,1994,10738.0,South,Detached,480246
10028,4,2159,925.0,2.0,5,3,2005,5701.0,West,Townhouse,547022
10029,10,1844,1419.0,2.0,3,3,1999,10321.0,North,Detached,721826
10032,3,1941,1293.0,2.0,4,2,1956,4807.0,South,Semi-Detached,425231
10034,4,1322,598.0,2.0,2,2,2018,9867.0,West,Detached,484008
10035,8,1858,1239.0,2.0,2,2,1952,8489.0,North,Semi-Detached,612029
10036,7,1212,679.0,2.0,4,3,1993,8556.0,East,Townhouse,499824
10037,6,1975,1272.0,2.0,3,2,2019,13743.0,South,Detached,576190
10038,3,814,683.0,4.0,3,1,1963,3756.0,Greenfield,Detached,319672
